goodid,img,detail,nowpric,passpric,like,stock
1,1.jpg,【官方授权】 【经典“黄春雨”限定升级&不加价】 papa recipe春雨小蜜罐限量版面膜25g*7片，给肌肤吃一顿蜂蜜大餐，让干枯的肌肤如沐春雨。,76,100,45,999
2,2.jpg,JMsolution品牌高性价比力作！JMsolution蜂胶蜂蜜面膜+海洋珍珠三部曲面膜套装。JMsolution蜂胶蜂蜜输送养分。海洋珍珠三部曲面膜，三个步骤护肤全搞定,65,220,545,1000
3,3.jpg,JM solution品牌高性价比力作！韩国?jmsolution青光海洋珍珠深层保湿护理套装（珍珠版）水130ml+乳130ml+赠品（水20ml+乳20ml）， 青光海洋珍珠,65,122,43,1001
4,4.jpg,官方授权】 【超能婴儿人气新品】A by BOM 夜间修复面膜5片，“水疗急救5分钟 持续缩水1整夜”，修护受损肌肤，提亮去黄，敷出亮泽美肌。淡淡的花香提气安,32,323,122,1002
5,5.jpg,肌肤要白，就要白的发光！被誉为韩国底妆界人气怪物的AGE20'S牛奶亮白遮瑕精华气垫粉底膏闪亮来袭，第四代水分精华含量高，新概念All in one Make-up。轻,323,555,212,1003
6,6.jpg,"JMsolution 蜂胶蜂蜜面膜+润光欧若拉面膜套组3+1，薄如蚕丝拂面,深入肌底输送养分。精华深入皮肤，加倍储水敷出水光肌。浓浓精华扑面而来，体验肌肤喝饱水的快感。",767,999,87,1004
7,7.jpg,MM们提到保湿就能立刻想到的“小白瓶科颜氏高保湿面霜50ml，能锁住肌肤表面水分并吸收空气中的水气，达到全天候不间断的保湿效果，使用后肌肤感,212,555,21,1005
8,8.jpg,科颜氏高保湿精华爽肤水250ml，蕴含的角鲨烷是高度精炼的保湿油，与皮肤的油份相容，吸收力强且柔软。富含杏核油、牛油果油及甜杏仁油等滋润成分，,32,88,43,1006
9,9.jpg,水衡透润保湿护肤2件套（水200ml+乳120ml+精华10ml+霜10ml+面膜15ml）,656,999,345,1007
10,10.jpg,【韩国版兰芝】兰芝 (LANEIGE) 亮白聚光气垫霜15g*2，兰芝明星气垫“芯”升级啦，钻石网状结构，取粉更均匀，粉底液更易保存~~弹力气垫拍一拍就能打,32,100,345,1008
11,11.jpg,水衡透润保湿护肤2件套（水200ml+乳120ml+精华10ml+霜10ml+面膜15ml）,3232,8888,789,1009
,,,332,2288,890,1010
,,,3232,8888,122,1011
,,,221,666,345,1012
,,,71,90,179,1013
,,,85,120,346,1014
,,,43,190,745,1015
,,,97,189,986,1016
,,,32,289,454,1017
,,,323,466,982,1018
,,,32,43,45,1019
,,,355,855,98,1020
,,,878,999,32,1021
,,,879,1000,86,1022
,,,880,1001,248,1023
,,,881,1002,876,1024
,,,882,1003,580,1025
,,,883,1004,347,1026
,,,884,1005,943,1027
,,,885,1006,953,1028
,,,886,1007,345,1029
